location_clean,job_title_clean,job_level_clean,min_salary_annual_gbp,max_salary_annual_gbp,avg_salary_annual_gbp,confidence,publisher_name,source_file
Portugal,Software Developer,Junior,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_junior
Portugal,Software Developer,Mid,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_mid
Portugal,Software Developer,Senior,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_senior
Portugal,Software Developer,Lead,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_lead
Portugal,Software Developer,Principal,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_principal
Portugal,Software Developer,Head of,16447.5,27327.5,21887.499999999996,VERY_HIGH,Glassdoor,software_developer__portugal__lvl_head of
Sweden,Software Developer,Junior,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_junior
Sweden,Software Developer,Mid,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_mid
Sweden,Software Developer,Senior,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_senior
Sweden,Software Developer,Lead,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_lead
Sweden,Software Developer,Principal,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_principal
Sweden,Software Developer,Head of,31651.05,49942.5,40796.775,VERY_HIGH,Glassdoor,software_developer__sweden__lvl_head of
New York,Software Developer,Junior,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_junior
New York,Software Developer,Mid,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_mid
New York,Software Developer,Senior,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_senior
New York,Software Developer,Lead,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_lead
New York,Software Developer,Principal,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_principal
New York,Software Developer,Head of,76095.648,127217.88,101656.76400000001,CONFIDENT,Glassdoor,software_developer__new_york__lvl_head of
Portugal,Software Engineer,Junior,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_junior
Portugal,Software Engineer,Mid,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_mid
Portugal,Software Engineer,Senior,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_senior
Portugal,Software Engineer,Lead,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_lead
Portugal,Software Engineer,Principal,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_principal
Portugal,Software Engineer,Head of,28344.524999999998,49546.5,38945.5125,VERY_HIGH,Glassdoor,software_engineer__portugal__lvl_head of
Sweden,Software Engineer,Junior,37500.0,48862.5,43181.25,VERY_HIGH,Glassdoor,software_engineer__sweden__lvl_junior
Sweden,Software Engineer,Mid,37500.0,48862.5,43181.25,VERY_HIGH,Glassdoor,software_engineer__sweden__lvl_mid
